Algorithm,ArraySize,ArrayType,ExecutionTime_ms,CharacterComparisons,IsSorted
MergeSort,2200,Random,2.737,30460,true
StringQuickSort,2200,Random,0.139,23524,true
StringMergeSort,2200,Random,2.802,30460,true
MSDRadixSort,2200,Random,0.797,5112,true
MSDRadixSortWithQuickSort,2200,Random,0.357,11305,true
QuickSort,2200,ReverseSorted,5.268,2451562,true
MergeSort,2200,ReverseSorted,2.711,18005,true
StringQuickSort,2200,ReverseSorted,0.209,102978,true
StringMergeSort,2200,ReverseSorted,2.585,18005,true
MSDRadixSort,2200,ReverseSorted,0.735,5166,true
MSDRadixSortWithQuickSort,2200,ReverseSorted,0.328,28937,true
QuickSort,2300,NearlySorted,0.401,131468,true
MergeSort,2300,NearlySorted,2.735,29367,true
StringQuickSort,2300,NearlySorted,0.178,63920,true
StringMergeSort,2300,NearlySorted,2.842,29367,true
MSDRadixSort,2300,NearlySorted,0.683,5389,true
MSDRadixSortWithQuickSort,2300,NearlySorted,0.322,13840,true
QuickSort,2300,PrefixBased,0.315,63978,true
MergeSort,2300,PrefixBased,2.540,54768,true
StringQuickSort,2300,PrefixBased,0.161,32016,true
StringMergeSort,2300,PrefixBased,2.534,54768,true
MSDRadixSort,2300,PrefixBased,1.648,14129,true
MSDRadixSortWithQuickSort,2300,PrefixBased,0.324,18396,true
QuickSort,2300,Random,0.310,38460,true
MergeSort,2300,Random,2.974,32185,true
StringQuickSort,2300,Random,0.145,25713,true
StringMergeSort,2300,Random,2.933,32185,true
MSDRadixSort,2300,Random,0.745,5366,true
MSDRadixSortWithQuickSort,2300,Random,0.400,11904,true
QuickSort,2300,ReverseSorted,5.872,2679616,true
MergeSort,2300,ReverseSorted,2.877,18856,true
StringQuickSort,2300,ReverseSorted,0.223,107808,true
StringMergeSort,2300,ReverseSorted,2.741,18856,true
MSDRadixSort,2300,ReverseSorted,0.715,5361,true
MSDRadixSortWithQuickSort,2300,ReverseSorted,0.361,32113,true
QuickSort,2400,NearlySorted,0.345,95174,true
MergeSort,2400,NearlySorted,2.891,31405,true
StringQuickSort,2400,NearlySorted,0.176,66165,true
StringMergeSort,2400,NearlySorted,2.873,31405,true
MSDRadixSort,2400,NearlySorted,0.764,5634,true
MSDRadixSortWithQuickSort,2400,NearlySorted,0.312,15094,true
QuickSort,2400,PrefixBased,0.334,66173,true
MergeSort,2400,PrefixBased,2.719,57500,true
StringQuickSort,2400,PrefixBased,0.186,31119,true
StringMergeSort,2400,PrefixBased,2.780,57500,true
MSDRadixSort,2400,PrefixBased,1.586,14713,true
MSDRadixSortWithQuickSort,2400,PrefixBased,0.358,19471,true
QuickSort,2400,Random,0.324,41394,true
MergeSort,2400,Random,3.162,33961,true
StringQuickSort,2400,Random,0.167,26604,true
StringMergeSort,2400,Random,3.004,33961,true
MSDRadixSort,2400,Random,0.828,5667,true
MSDRadixSortWithQuickSort,2400,Random,0.415,12632,true
QuickSort,2400,ReverseSorted,6.292,2917479,true
MergeSort,2400,ReverseSorted,2.892,19687,true
StringQuickSort,2400,ReverseSorted,0.225,110163,true
StringMergeSort,2400,ReverseSorted,2.919,19687,true
MSDRadixSort,2400,ReverseSorted,0.792,5636,true
MSDRadixSortWithQuickSort,2400,ReverseSorted,0.356,33705,true
QuickSort,2500,NearlySorted,0.340,86612,true
MergeSort,2500,NearlySorted,3.108,32595,true
StringQuickSort,2500,NearlySorted,0.245,94374,true
StringMergeSort,2500,NearlySorted,3.033,32595,true
MSDRadixSort,2500,NearlySorted,0.722,5889,true
MSDRadixSortWithQuickSort,2500,NearlySorted,0.333,15692,true
QuickSort,2500,PrefixBased,0.337,68256,true
MergeSort,2500,PrefixBased,2.807,60217,true
StringQuickSort,2500,PrefixBased,0.171,34338,true
StringMergeSort,2500,PrefixBased,2.806,60217,true
MSDRadixSort,2500,PrefixBased,1.841,15321,true
MSDRadixSortWithQuickSort,2500,PrefixBased,0.346,20544,true
QuickSort,2500,Random,0.333,43605,true
MergeSort,2500,Random,3.226,35663,true
StringQuickSort,2500,Random,0.162,28430,true
StringMergeSort,2500,Random,3.160,35663,true
MSDRadixSort,2500,Random,0.825,5914,true
MSDRadixSortWithQuickSort,2500,Random,0.422,13395,true
QuickSort,2500,ReverseSorted,6.843,3165572,true
MergeSort,2500,ReverseSorted,3.090,20662,true
StringQuickSort,2500,ReverseSorted,0.249,117765,true
StringMergeSort,2500,ReverseSorted,3.138,20662,true
MSDRadixSort,2500,ReverseSorted,0.784,5866,true
MSDRadixSortWithQuickSort,2500,ReverseSorted,0.405,36637,true
QuickSort,2600,NearlySorted,0.386,101085,true
MergeSort,2600,NearlySorted,3.203,34794,true
StringQuickSort,2600,NearlySorted,0.223,80712,true
StringMergeSort,2600,NearlySorted,3.072,34794,true
MSDRadixSort,2600,NearlySorted,0.799,6149,true
MSDRadixSortWithQuickSort,2600,NearlySorted,0.385,16301,true
QuickSort,2600,PrefixBased,0.346,72256,true
MergeSort,2600,PrefixBased,2.923,63008,true
StringQuickSort,2600,PrefixBased,0.180,36819,true
StringMergeSort,2600,PrefixBased,2.882,63008,true
MSDRadixSort,2600,PrefixBased,1.780,15906,true
MSDRadixSortWithQuickSort,2600,PrefixBased,0.408,21284,true
QuickSort,2600,Random,0.339,45345,true
MergeSort,2600,Random,3.252,37462,true
StringQuickSort,2600,Random,0.177,33078,true
StringMergeSort,2600,Random,3.264,37462,true
MSDRadixSort,2600,Random,0.960,6184,true
MSDRadixSortWithQuickSort,2600,Random,0.424,13992,true
QuickSort,2600,ReverseSorted,7.222,3424483,true
MergeSort,2600,ReverseSorted,3.070,21566,true
StringQuickSort,2600,ReverseSorted,0.260,125283,true
StringMergeSort,2600,ReverseSorted,3.215,21566,true
MSDRadixSort,2600,ReverseSorted,0.940,6194,true
MSDRadixSortWithQuickSort,2600,ReverseSorted,0.391,39228,true
QuickSort,2700,NearlySorted,0.445,120024,true
MergeSort,2700,NearlySorted,3.357,36519,true
StringQuickSort,2700,NearlySorted,0.262,101201,true
StringMergeSort,2700,NearlySorted,3.343,36519,true
MSDRadixSort,2700,NearlySorted,0.845,6412,true
MSDRadixSortWithQuickSort,2700,NearlySorted,0.381,17399,true
QuickSort,2700,PrefixBased,0.382,76070,true
MergeSort,2700,PrefixBased,3.091,65573,true
StringQuickSort,2700,PrefixBased,0.193,41579,true
StringMergeSort,2700,PrefixBased,3.125,65573,true
MSDRadixSort,2700,PrefixBased,1.888,16533,true
MSDRadixSortWithQuickSort,2700,PrefixBased,0.390,22187,true
QuickSort,2700,Random,0.391,47430,true
MergeSort,2700,Random,3.529,39119,true
StringQuickSort,2700,Random,0.178,28859,true
StringMergeSort,2700,Random,3.537,39119,true
MSDRadixSort,2700,Random,0.910,6468,true
MSDRadixSortWithQuickSort,2700,Random,0.454,14883,true
QuickSort,2700,ReverseSorted,7.854,3692902,true
MergeSort,2700,ReverseSorted,3.215,22622,true
StringQuickSort,2700,ReverseSorted,0.266,128004,true
StringMergeSort,2700,ReverseSorted,3.319,22622,true
MSDRadixSort,2700,ReverseSorted,0.945,6532,true
MSDRadixSortWithQuickSort,2700,ReverseSorted,0.420,41029,true
QuickSort,2800,NearlySorted,0.504,157083,true
MergeSort,2800,NearlySorted,3.384,38362,true
StringQuickSort,2800,NearlySorted,0.217,79028,true
StringMergeSort,2800,NearlySorted,3.445,38362,true
MSDRadixSort,2800,NearlySorted,0.870,6748,true
MSDRadixSortWithQuickSort,2800,NearlySorted,0.405,18262,true
QuickSort,2800,PrefixBased,0.402,79281,true
MergeSort,2800,PrefixBased,3.183,68639,true
StringQuickSort,2800,PrefixBased,0.198,39484,true
StringMergeSort,2800,PrefixBased,3.190,68639,true
MSDRadixSort,2800,PrefixBased,1.889,17138,true
MSDRadixSortWithQuickSort,2800,PrefixBased,0.428,22825,true
QuickSort,2800,Random,0.387,48543,true
MergeSort,2800,Random,3.663,40955,true
StringQuickSort,2800,Random,0.197,33940,true
StringMergeSort,2800,Random,3.561,40955,true
MSDRadixSort,2800,Random,0.973,6649,true
MSDRadixSortWithQuickSort,2800,Random,0.463,15488,true
QuickSort,2800,ReverseSorted,8.379,3971504,true
MergeSort,2800,ReverseSorted,3.357,23725,true
StringQuickSort,2800,ReverseSorted,0.284,134894,true
StringMergeSort,2800,ReverseSorted,3.410,23725,true
MSDRadixSort,2800,ReverseSorted,0.962,6717,true
MSDRadixSortWithQuickSort,2800,ReverseSorted,0.425,44892,true
QuickSort,2900,NearlySorted,0.457,130674,true
MergeSort,2900,NearlySorted,3.591,39322,true
StringQuickSort,2900,NearlySorted,0.221,79205,true
StringMergeSort,2900,NearlySorted,3.713,39322,true
MSDRadixSort,2900,NearlySorted,0.960,6968,true
MSDRadixSortWithQuickSort,2900,NearlySorted,0.432,18918,true
QuickSort,2900,PrefixBased,0.399,80319,true
MergeSort,2900,PrefixBased,3.364,70767,true
StringQuickSort,2900,PrefixBased,0.215,41637,true
StringMergeSort,2900,PrefixBased,3.391,70767,true
MSDRadixSort,2900,PrefixBased,2.012,17750,true
MSDRadixSortWithQuickSort,2900,PrefixBased,0.418,23980,true
QuickSort,2900,Random,0.403,55091,true
MergeSort,2900,Random,3.760,42717,true
StringQuickSort,2900,Random,0.193,31797,true
StringMergeSort,2900,Random,3.908,42717,true
MSDRadixSort,2900,Random,1.006,7015,true
MSDRadixSortWithQuickSort,2900,Random,0.508,16497,true
QuickSort,2900,ReverseSorted,9.038,4260466,true
MergeSort,2900,ReverseSorted,3.558,24606,true
StringQuickSort,2900,ReverseSorted,0.297,140535,true
StringMergeSort,2900,ReverseSorted,3.519,24606,true
MSDRadixSort,2900,ReverseSorted,1.011,7009,true
MSDRadixSortWithQuickSort,2900,ReverseSorted,0.466,47318,true
QuickSort,3000,NearlySorted,0.646,201444,true
MergeSort,3000,NearlySorted,3.700,41013,true
StringQuickSort,3000,NearlySorted,0.258,97735,true
StringMergeSort,3000,NearlySorted,3.799,41013,true
MSDRadixSort,3000,NearlySorted,0.927,7261,true
MSDRadixSortWithQuickSort,3000,NearlySorted,0.449,19999,true
QuickSort,3000,PrefixBased,0.418,84265,true
MergeSort,3000,PrefixBased,3.361,73400,true
StringQuickSort,3000,PrefixBased,0.256,42939,true
StringMergeSort,3000,PrefixBased,3.383,73400,true
MSDRadixSort,3000,PrefixBased,2.160,18372,true
MSDRadixSortWithQuickSort,3000,PrefixBased,0.443,24386,true
QuickSort,3000,Random,0.420,60174,true
MergeSort,3000,Random,3.989,44465,true
StringQuickSort,3000,Random,0.218,32555,true
StringMergeSort,3000,Random,3.902,44465,true
MSDRadixSort,3000,Random,1.079,7266,true
MSDRadixSortWithQuickSort,3000,Random,0.485,16737,true
QuickSort,3000,ReverseSorted,9.633,4558891,true
MergeSort,3000,ReverseSorted,3.618,25614,true
StringQuickSort,3000,ReverseSorted,0.311,145966,true
StringMergeSort,3000,ReverseSorted,3.785,25614,true
MSDRadixSort,3000,ReverseSorted,1.037,7218,true
MSDRadixSortWithQuickSort,3000,ReverseSorted,0.464,51255,true
