Algorithm,ArraySize,ArrayType,ExecutionTime_ms,CharacterComparisons,IsSorted
MSDRadixSort,500,PrefixBased,0.372,3063,true
MSDRadixSortWithQuickSort,500,PrefixBased,0.068,3725,true
QuickSort,500,Random,0.052,6032,true
MergeSort,500,Random,0.553,4850,true
StringQuickSort,500,Random,0.023,4804,true
StringMergeSort,500,Random,0.566,4850,true
MSDRadixSort,500,Random,0.149,1040,true
MSDRadixSortWithQuickSort,500,Random,0.069,1522,true
QuickSort,500,ReverseSorted,0.255,126394,true
MergeSort,500,ReverseSorted,0.505,2997,true
StringQuickSort,500,ReverseSorted,0.050,20855,true
StringMergeSort,500,ReverseSorted,0.520,2997,true
MSDRadixSort,500,ReverseSorted,0.155,1044,true
MSDRadixSortWithQuickSort,500,ReverseSorted,0.066,2067,true
QuickSort,600,NearlySorted,0.105,33775,true
MergeSort,600,NearlySorted,0.651,5547,true
StringQuickSort,600,NearlySorted,0.031,11000,true
StringMergeSort,600,NearlySorted,0.663,5547,true
MSDRadixSort,600,NearlySorted,0.174,1259,true
MSDRadixSortWithQuickSort,600,NearlySorted,0.070,2057,true
QuickSort,600,PrefixBased,0.067,13661,true
MergeSort,600,PrefixBased,0.600,12306,true
StringQuickSort,600,PrefixBased,0.035,7052,true
StringMergeSort,600,PrefixBased,0.620,12306,true
MSDRadixSort,600,PrefixBased,0.461,3679,true
MSDRadixSortWithQuickSort,600,PrefixBased,0.081,4426,true
QuickSort,600,Random,0.066,6783,true
MergeSort,600,Random,0.664,6089,true
StringQuickSort,600,Random,0.030,5616,true
StringMergeSort,600,Random,0.632,6089,true
MSDRadixSort,600,Random,0.197,1257,true
MSDRadixSortWithQuickSort,600,Random,0.082,1890,true
QuickSort,600,ReverseSorted,0.357,182175,true
MergeSort,600,ReverseSorted,0.616,3635,true
StringQuickSort,600,ReverseSorted,0.041,23546,true
StringMergeSort,600,ReverseSorted,0.650,3635,true
MSDRadixSort,600,ReverseSorted,0.183,1260,true
MSDRadixSortWithQuickSort,600,ReverseSorted,0.077,2944,true
QuickSort,700,NearlySorted,0.096,25151,true
MergeSort,700,NearlySorted,0.753,6799,true
StringQuickSort,700,NearlySorted,0.040,16571,true
StringMergeSort,700,NearlySorted,0.727,6799,true
MSDRadixSort,700,NearlySorted,0.178,1474,true
MSDRadixSortWithQuickSort,700,NearlySorted,0.077,2573,true
QuickSort,700,PrefixBased,0.079,16100,true
MergeSort,700,PrefixBased,0.739,14562,true
StringQuickSort,700,PrefixBased,0.042,8077,true
StringMergeSort,700,PrefixBased,0.696,14562,true
MSDRadixSort,700,PrefixBased,0.490,4301,true
MSDRadixSortWithQuickSort,700,PrefixBased,0.089,5285,true
QuickSort,700,Random,0.075,8443,true
MergeSort,700,Random,0.841,7419,true
StringQuickSort,700,Random,0.033,6593,true
StringMergeSort,700,Random,0.750,7419,true
MSDRadixSort,700,Random,0.209,1492,true
MSDRadixSortWithQuickSort,700,Random,0.105,2436,true
